/net039 X,/net039 Y,/net010 X,/net010 Y,/net09 X,/net09 Y,/net08 X,/net08 Y,/net02 X,/net02 Y
0,7.369521627110253e-05,0,7.369521627107148e-05,0,7.369521627096658e-05,0,6.437806357482215e-05,0,0
1.5e-11,7.369521627109553e-05,1.5e-11,7.369521627106518e-05,1.5e-11,7.369521627097482e-05,1.5e-11,6.437806357492083e-05,1.5e-11,0
4.5e-11,7.369521627104292e-05,4.5e-11,7.369521627101018e-05,4.5e-11,7.369521627105775e-05,4.5e-11,6.437806357488128e-05,4.5e-11,0
1.05e-10,7.369521627228225e-05,1.05e-10,7.369521626939564e-05,1.05e-10,7.369521627259443e-05,1.05e-10,6.43780635751154e-05,1.05e-10,0
2.25e-10,7.369521626955499e-05,2.25e-10,7.369521627233182e-05,2.25e-10,7.369521626966534e-05,2.25e-10,6.437806357458037e-05,2.25e-10,0
4.65e-10,7.369521627222836e-05,4.65e-10,7.369521626965669e-05,4.65e-10,7.369521627256994e-05,4.65e-10,6.43780635750513e-05,4.65e-10,0
7.649999999999999e-10,7.369521627281977e-05,7.649999999999999e-10,7.36952162723109e-05,7.649999999999999e-10,7.369521626975139e-05,7.649999999999999e-10,6.437806357485497e-05,7.649999999999999e-10,0
1.065e-09,7.369521626918408e-05,1.065e-09,7.369521626969499e-05,1.065e-09,7.369521626902889e-05,1.065e-09,6.437806357513872e-05,1.065e-09,0
1.365e-09,7.369521626967116e-05,1.365e-09,7.369521627557211e-05,1.365e-09,7.369521627000268e-05,1.365e-09,6.437806357466167e-05,1.365e-09,0
1.665e-09,7.369521627539857e-05,1.665e-09,7.36952162664175e-05,1.665e-09,7.369521627205067e-05,1.665e-09,6.437806357486079e-05,1.665e-09,0
1.8325e-09,7.369521626673296e-05,1.8325e-09,7.36952162752287e-05,1.8325e-09,7.369521627013221e-05,1.8325e-09,6.437806357522721e-05,1.8325e-09,0
2e-09,7.369521627470888e-05,2e-09,7.369521626700858e-05,2e-09,7.369521627220103e-05,2e-09,6.437806357444008e-05,2e-09,0
2.120144127384571e-09,7.369521627071219e-05,2.120144127384571e-09,7.369521627069706e-05,2.120144127384571e-09,7.369521627115972e-05,2.120144127384571e-09,6.43780635752778e-05,2.120144127384571e-09,0.06674673743587282
2.261585129605973e-09,7.369521626967788e-05,2.261585129605973e-09,7.369521627255444e-05,2.261585129605973e-09,7.369521626949448e-05,2.261585129605973e-09,6.43780635495367e-05,2.261585129605973e-09,0.1453250720033182
2.400273538304042e-09,7.369521627203494e-05,2.400273538304042e-09,7.369521626948449e-05,2.400273538304042e-09,7.369521627275427e-05,2.400273538304042e-09,6.437806369101196e-05,2.400273538304042e-09,0.2223741879466899
2.455450261564963e-09,7.369521627001988e-05,2.455450261564963e-09,7.369521627216534e-05,2.455450261564963e-09,7.369521626888289e-05,2.455450261564963e-09,6.437806291736241e-05,2.455450261564963e-09,0.2530279230916461
2.483038623195424e-09,7.369521627205695e-05,2.483038623195424e-09,7.369521627266009e-05,2.483038623195424e-09,7.369521627911826e-05,2.483038623195424e-09,6.437806573984709e-05,2.483038623195424e-09,0.2683547906641242
2.538215346456345e-09,7.36952162696942e-05,2.538215346456345e-09,7.369521626954697e-05,2.538215346456345e-09,7.369521625852986e-05,2.538215346456345e-09,6.437806085160668e-05,2.538215346456345e-09,0.2990085258090806
2.560737121398751e-09,7.369521627189702e-05,2.560737121398751e-09,7.369521627221286e-05,2.560737121398751e-09,7.369521629155803e-05,2.560737121398751e-09,6.437806609386846e-05,2.560737121398751e-09,0.3115206229993059
2.571998008869954e-09,7.369521627086308e-05,2.571998008869954e-09,7.369521627250967e-05,2.571998008869954e-09,7.36952162533631e-05,2.571998008869954e-09,6.437806418657064e-05,2.571998008869954e-09,0.3177766715944186
2.594519783812359e-09,7.369521627170484e-05,2.594519783812359e-09,7.369521627278786e-05,2.594519783812359e-09,7.369521627240131e-05,2.594519783812359e-09,6.437806165861455e-05,2.594519783812359e-09,0.330288768784644
2.61929201554438e-09,7.369521627026037e-05,2.61929201554438e-09,7.369521626956309e-05,2.61929201554438e-09,7.369521628339387e-05,2.61929201554438e-09,6.437806587507554e-05,2.61929201554438e-09,0.3440511197468777
2.64050376976548e-09,7.369521627147995e-05,2.64050376976548e-09,7.369521627473895e-05,2.64050376976548e-09,7.36952162482693e-05,2.64050376976548e-09,6.437806141552003e-05,2.64050376976548e-09,0.3558354276474888
2.66068603188823e-09,7.36952162705202e-05,2.66068603188823e-09,7.369521626789242e-05,2.66068603188823e-09,7.369521629912247e-05,2.66068603188823e-09,6.437806530046844e-05,2.66068603188823e-09,0.3670477954934609
2.682055619276823e-09,7.369521627117826e-05,2.682055619276823e-09,7.369521627061127e-05,2.682055619276823e-09,7.369521624691045e-05,2.682055619276823e-09,6.437806229851128e-05,2.682055619276823e-09,0.3789197884871236
2.701703988604454e-09,7.369521627091317e-05,2.701703988604454e-09,7.369521627125555e-05,2.701703988604454e-09,7.369521629007417e-05,2.701703988604454e-09,6.437806442651001e-05,2.701703988604454e-09,0.3898355492246965
2.725079201383649e-09,7.369521627143238e-05,2.725079201383649e-09,7.369521627354072e-05,2.725079201383649e-09,7.369521625417598e-05,2.725079201383649e-09,6.437806300886031e-05,2.725079201383649e-09,0.4028217785464718
2.753399842659972e-09,7.36952162704632e-05,2.753399842659972e-09,7.369521626596899e-05,2.753399842659972e-09,7.36952162830527e-05,2.753399842659972e-09,6.437806395285774e-05,2.753399842659972e-09,0.4185554681444288
2.78417682580648e-09,7.369521627117206e-05,2.78417682580648e-09,7.369521627534139e-05,2.78417682580648e-09,7.369521626067913e-05,2.78417682580648e-09,6.437806333427763e-05,2.78417682580648e-09,0.4356537921147108
2.812895477102867e-09,7.369521627066567e-05,2.812895477102867e-09,7.369521626728115e-05,2.812895477102867e-09,7.369521627984438e-05,2.812895477102867e-09,6.437806369904911e-05,2.812895477102867e-09,0.4516085983904816
2.842817606891021e-09,7.369521627122081e-05,2.842817606891021e-09,7.36952162744321e-05,2.842817606891021e-09,7.369521626367085e-05,2.842817606891021e-09,6.437806353681241e-05,2.842817606891021e-09,0.4682320038283451
2.867139585824209e-09,7.369521627070072e-05,2.867139585824209e-09,7.369521626791374e-05,2.867139585824209e-09,7.369521627689168e-05,2.867139585824209e-09,6.437806353408558e-05,2.867139585824209e-09,0.4817442143467827
2.895104265130529e-09,7.36952162713147e-05,2.895104265130529e-09,7.369521627370934e-05,2.895104265130529e-09,7.369521626663376e-05,2.895104265130529e-09,6.437806366597168e-05,2.895104265130529e-09,0.497280147294738
