/net039 X,/net039 Y,/net010 X,/net010 Y,/net09 X,/net09 Y,/net08 X,/net08 Y,/net02 X,/net02 Y
0,6.795643765967124e-05,0,6.795643765968722e-05,0,6.795643765946342e-05,0,6.094256728629037e-05,0,0
1.5e-11,6.795643765974179e-05,1.5e-11,6.795643765975419e-05,1.5e-11,6.795643765973957e-05,1.5e-11,6.094256728621654e-05,1.5e-11,0
4.5e-11,6.795643765969008e-05,4.5e-11,6.795643765969269e-05,4.5e-11,6.795643765972478e-05,4.5e-11,6.09425672863385e-05,4.5e-11,0
1.05e-10,6.795643765701776e-05,1.05e-10,6.795643765705423e-05,1.05e-10,6.795643765710645e-05,1.05e-10,6.09425672861118e-05,1.05e-10,0
2.25e-10,6.795643766260327e-05,2.25e-10,6.795643766248615e-05,2.25e-10,6.795643765932615e-05,2.25e-10,6.094256728597486e-05,2.25e-10,0
4.65e-10,6.795643765713472e-05,4.65e-10,6.795643766033134e-05,4.65e-10,6.795643766050655e-05,4.65e-10,6.094256728632916e-05,4.65e-10,0
7.649999999999999e-10,6.79564376655943e-05,7.649999999999999e-10,6.795643765626253e-05,7.649999999999999e-10,6.79564376563258e-05,7.649999999999999e-10,6.094256728606864e-05,7.649999999999999e-10,0
1.065e-09,6.795643765089294e-05,1.065e-09,6.795643766324302e-05,1.065e-09,6.795643766323239e-05,1.065e-09,6.094256728625706e-05,1.065e-09,0
1.365e-09,6.795643766537258e-05,1.365e-09,6.795643765637758e-05,1.365e-09,6.795643765309536e-05,1.365e-09,6.094256728623758e-05,1.365e-09,0
1.665e-09,6.795643765449897e-05,1.665e-09,6.795643766303119e-05,1.665e-09,6.795643766639912e-05,1.665e-09,6.094256728602099e-05,1.665e-09,0
1.8325e-09,6.795643766793786e-05,1.8325e-09,6.795643765679604e-05,1.8325e-09,6.79564376534065e-05,1.8325e-09,6.094256728653383e-05,1.8325e-09,0
2e-09,6.795643765181838e-05,2e-09,6.795643765988611e-05,2e-09,6.795643766611767e-05,2e-09,6.094256728587091e-05,2e-09,0
2.120144127384571e-09,6.795643765940625e-05,2.120144127384571e-09,6.795643765969804e-05,2.120144127384571e-09,6.795643765977342e-05,2.120144127384571e-09,6.094256728692445e-05,2.120144127384571e-09,0.06674673743587282
2.261585129605973e-09,6.795643766018934e-05,2.261585129605973e-09,6.795643765971808e-05,2.261585129605973e-09,6.795643765656211e-05,2.261585129605973e-09,6.094256726034404e-05,2.261585129605973e-09,0.1453250720033182
2.400273538304042e-09,6.795643765945075e-05,2.400273538304042e-09,6.795643765680534e-05,2.400273538304042e-09,6.795643766014539e-05,2.400273538304042e-09,6.0942567398948e-05,2.400273538304042e-09,0.2223741879466899
2.45569380373431e-09,6.795643766005011e-05,2.45569380373431e-09,6.795643766243412e-05,2.45569380373431e-09,6.795643765924252e-05,2.45569380373431e-09,6.094256664404997e-05,2.45569380373431e-09,0.2531632242968386
2.483403936449444e-09,6.795643765673477e-05,2.483403936449444e-09,6.795643765790277e-05,2.483403936449444e-09,6.795643766108553e-05,2.483403936449444e-09,6.094256952515331e-05,2.483403936449444e-09,0.2685577424719131
2.538824201879712e-09,6.79564376630429e-05,2.538824201879712e-09,6.795643766172603e-05,2.538824201879712e-09,6.795643765218677e-05,2.538824201879712e-09,6.094256437581958e-05,2.538824201879712e-09,0.2993467788220619
2.561274479319399e-09,6.795643765434991e-05,2.561274479319399e-09,6.79564376586598e-05,2.561274479319399e-09,6.795643767993991e-05,2.561274479319399e-09,6.094257022282259e-05,2.561274479319399e-09,0.3118191551774441
2.572499618039244e-09,6.795643766336846e-05,2.572499618039244e-09,6.795643765822654e-05,2.572499618039244e-09,6.795643764068918e-05,2.572499618039244e-09,6.094256765107653e-05,2.572499618039244e-09,0.3180553433551352
2.594949895478932e-09,6.795643765875227e-05,2.594949895478932e-09,6.795643766097162e-05,2.594949895478932e-09,6.795643766856415e-05,2.594949895478932e-09,6.094256533720012e-05,2.594949895478932e-09,0.3305277197105176
2.62019183797837e-09,6.79564376607786e-05,2.62019183797837e-09,6.795643765889006e-05,2.62019183797837e-09,6.795643766409534e-05,2.62019183797837e-09,6.094256978569406e-05,2.62019183797837e-09,0.3445510210990941
2.641152210962379e-09,6.795643766176913e-05,2.641152210962379e-09,6.795643766341542e-05,2.641152210962379e-09,6.795643764132216e-05,2.641152210962379e-09,6.094256484426035e-05,2.641152210962379e-09,0.3561956727568772
2.661831460741913e-09,6.795643765862031e-05,2.661831460741913e-09,6.795643765687259e-05,2.661831460741913e-09,6.795643768412797e-05,2.661831460741913e-09,6.094256929482526e-05,2.661831460741913e-09,0.3676841448566182
2.683150840004641e-09,6.795643766079091e-05,2.683150840004641e-09,6.795643766233256e-05,2.683150840004641e-09,6.795643763606049e-05,2.683150840004641e-09,6.094256577509058e-05,2.683150840004641e-09,0.3795282444470225
2.702706616568284e-09,6.795643765646117e-05,2.702706616568284e-09,6.795643765507659e-05,2.702706616568284e-09,6.795643768151737e-05,2.702706616568284e-09,6.094256831103867e-05,2.702706616568284e-09,0.3903925647601579
2.725850249364707e-09,6.795643766290597e-05,2.725850249364707e-09,6.795643766389328e-05,2.725850249364707e-09,6.795643764351371e-05,2.725850249364707e-09,6.094256659429669e-05,2.725850249364707e-09,0.4032501385359482
2.754017301164238e-09,6.795643765707201e-05,2.754017301164238e-09,6.795643765878832e-05,2.754017301164238e-09,6.795643767463817e-05,2.754017301164238e-09,6.09425677596209e-05,2.754017301164238e-09,0.4188985006467991
2.78455459044803e-09,6.795643766213772e-05,2.78455459044803e-09,6.795643766105643e-05,2.78455459044803e-09,6.795643764668259e-05,2.78455459044803e-09,6.094256697315046e-05,2.78455459044803e-09,0.4358636613600165
2.813120231787595e-09,6.795643765759426e-05,2.813120231787595e-09,6.795643765856242e-05,2.813120231787595e-09,6.795643766806098e-05,2.813120231787595e-09,6.094256746415885e-05,2.813120231787595e-09,0.4517334621042192
2.842920733337605e-09,6.795643765880744e-05,2.842920733337605e-09,6.795643765777472e-05,2.842920733337605e-09,6.795643765599887e-05,2.842920733337605e-09,6.094256720833674e-05,2.842920733337605e-09,0.4682892962986694
2.867243662813175e-09,6.795643766048279e-05,2.867243662813175e-09,6.795643766139412e-05,2.867243662813175e-09,6.795643766010378e-05,2.867243662813175e-09,6.094256727253556e-05,2.867243662813175e-09,0.4818020348962082
2.89515401306395e-09,6.795643765649692e-05,2.89515401306395e-09,6.795643765579265e-05,2.89515401306395e-09,6.795643766006694e-05,2.89515401306395e-09,6.094256735700922e-05,2.89515401306395e-09,0.4973077850355277
2.921094972943602e-09,6.795643766280208e-05,2.921094972943602e-09,6.79564376633808e-05,2.921094972943602e-09,6.795643765914356e-05,2.921094972943602e-09,6.094256717053139e-05,2.921094972943602e-09,0.5117194294131119
2.972976892702905e-09,6.795643765995535e-05,2.972976892702905e-09,6.795643765614801e-05,2.972976892702905e-09,6.795643766079332e-05,2.972976892702905e-09,6.09425674189881e-05,2.972976892702905e-09,0.5405427181682804
3.015534443809106e-09,6.795643766268777e-05,3.015534443809106e-09,6.795643766314181e-05,3.015534443809106e-09,6.795643765870965e-05,3.015534443809106e-09,6.094256713633883e-05,3.015534443809106e-09,0.5641858021161699
3.058952952513309e-09,6.795643765726706e-05,3.058952952513309e-09,6.795643765670158e-05,3.058952952513309e-09,6.795643765863408e-05,3.058952952513309e-09,6.094256744965856e-05,3.058952952513309e-09,0.5883071958407274
3.070072085180763e-09,6.795643766146052e-05,3.070072085180763e-09,6.795643766159833e-05,3.070072085180763e-09,6.795643765935021e-05,3.070072085180763e-09,6.094256709103602e-05,3.070072085180763e-09,0.5944844917670907
3.092310350515671e-09,6.795643765539723e-05,3.092310350515671e-09,6.795643765779198e-05,3.092310350515671e-09,6.795643766062176e-05,3.092310350515671e-09,6.094256748548491e-05,3.092310350515671e-09,0.6068390836198172
3.09963827990844e-09,6.795643766197942e-05,3.09963827990844e-09,6.795643766099081e-05,3.09963827990844e-09,6.79564376585317e-05,3.09963827990844e-09,6.094256709266367e-05,3.09963827990844e-09,0.6109101555046889
