/net010 X,/net010 Y,/net09 X,/net09 Y,/net08 X,/net08 Y,/net02 X,/net02 Y,/net039 X,/net039 Y
0,6.795643765967019e-05,0,6.795643765983487e-05,0,6.094256728539741e-05,0,0,0,6.79564376598253e-05
1.5e-11,6.795643765973717e-05,1.5e-11,6.795643765948251e-05,1.5e-11,6.094256728565673e-05,1.5e-11,0,1.5e-11,6.795643765964318e-05
4.5e-11,6.79564376596757e-05,4.5e-11,6.795643765970826e-05,4.5e-11,6.094256728578664e-05,4.5e-11,0,4.5e-11,6.795643765980691e-05
1.05e-10,6.795643765703747e-05,1.05e-10,6.795643765986862e-05,1.05e-10,6.094256728585014e-05,1.05e-10,0,1.05e-10,6.795643766289553e-05
2.25e-10,6.795643766247034e-05,2.25e-10,6.795643766301278e-05,2.25e-10,6.09425672854955e-05,2.25e-10,0,2.25e-10,6.795643765678097e-05
4.65e-10,6.795643766029825e-05,4.65e-10,6.795643765659828e-05,4.65e-10,6.094256728568861e-05,4.65e-10,0,4.65e-10,6.795643766273964e-05
7.649999999999999e-10,6.795643765624925e-05,7.649999999999999e-10,6.795643766333052e-05,7.649999999999999e-10,6.094256728556883e-05,7.649999999999999e-10,0,7.649999999999999e-10,6.795643765698721e-05
1.065e-09,6.795643766319265e-05,1.065e-09,6.795643765952192e-05,1.065e-09,6.094256728566148e-05,1.065e-09,0,1.065e-09,6.795643766245079e-05
1.365e-09,6.795643765635404e-05,1.365e-09,6.795643765692897e-05,1.365e-09,6.094256728573407e-05,1.365e-09,0,1.365e-09,6.795643765728654e-05
1.665e-09,6.795643766317836e-05,1.665e-09,6.795643766284173e-05,1.665e-09,6.094256728563038e-05,1.665e-09,0,1.665e-09,6.79564376653517e-05
1.8325e-09,6.795643765650729e-05,1.8325e-09,6.79564376567406e-05,1.8325e-09,6.094256728553635e-05,1.8325e-09,0,1.8325e-09,6.795643765439653e-05
2e-09,6.795643766616985e-05,2e-09,6.795643766297933e-05,2e-09,6.094256728574284e-05,2e-09,0,2e-09,6.795643766502289e-05
2.120144127384571e-09,6.795643765968616e-05,2.120144127384571e-09,6.795643765952169e-05,2.120144127384571e-09,6.094256728658349e-05,2.120144127384571e-09,0.06674673743587282,2.120144127384571e-09,6.795643765972313e-05
2.261585129605973e-09,6.795643765663378e-05,2.261585129605973e-09,6.79564376602006e-05,2.261585129605973e-09,6.094256725770628e-05,2.261585129605973e-09,0.1453250720033182,2.261585129605973e-09,6.79564376598145e-05
2.400273538304042e-09,6.795643766285847e-05,2.400273538304042e-09,6.795643765979623e-05,2.400273538304042e-09,6.094256740781554e-05,2.400273538304042e-09,0.2223741879466899,2.400273538304042e-09,6.795643765998018e-05
2.455693803733627e-09,6.795643765697491e-05,2.455693803733627e-09,6.79564376592349e-05,2.455693803733627e-09,6.094256661130198e-05,2.455693803733627e-09,0.2531632242964592,2.455693803733627e-09,6.79564376596654e-05
2.483403936448419e-09,6.795643766249735e-05,2.483403936448419e-09,6.795643766653559e-05,2.483403936448419e-09,6.094256951321142e-05,2.483403936448419e-09,0.2685577424713439,2.483403936448419e-09,6.795643765984939e-05
2.538824201878004e-09,6.795643766035464e-05,2.538824201878004e-09,6.795643764842642e-05,2.538824201878004e-09,6.094256446576012e-05,2.538824201878004e-09,0.2993467788211132,2.538824201878004e-09,6.795643765966515e-05
2.561274479314795e-09,6.795643765660545e-05,2.561274479314795e-09,6.795643768309766e-05,2.561274479314795e-09,6.094256995554547e-05,2.561274479314795e-09,0.311819155174886,2.561274479314795e-09,6.795643765984205e-05
2.57249961803319e-09,6.795643766169836e-05,2.57249961803319e-09,6.795643764404992e-05,2.57249961803319e-09,6.094256781991194e-05,2.57249961803319e-09,0.3180553433517723,2.57249961803319e-09,6.795643765980073e-05
2.594949895469981e-09,6.795643766067175e-05,2.594949895469981e-09,6.795643765949938e-05,2.594949895469981e-09,6.094256537124604e-05,2.594949895469981e-09,0.3305277197055449,2.594949895469981e-09,6.795643765996233e-05
2.620191837972993e-09,6.7956437659161e-05,2.620191837972993e-09,6.79564376734451e-05,2.620191837972993e-09,6.094256962277566e-05,2.620191837972993e-09,0.3445510210961073,2.620191837972993e-09,6.79564376598161e-05
2.641152210956187e-09,6.795643766041814e-05,2.641152210956187e-09,6.79564376376645e-05,2.641152210956187e-09,6.09425650642468e-05,2.641152210956187e-09,0.356195672753437,2.641152210956187e-09,6.795643765991807e-05
2.661831460741557e-09,6.795643765930566e-05,2.661831460741557e-09,6.795643768832463e-05,2.661831460741557e-09,6.094256908658377e-05,2.661831460741557e-09,0.3676841448564208,2.661831460741557e-09,6.795643766235782e-05
2.683150840006038e-09,6.795643766031234e-05,2.683150840006038e-09,6.795643763232691e-05,2.683150840006038e-09,6.094256594196473e-05,2.683150840006038e-09,0.3795282444477987,2.683150840006038e-09,6.795643765774622e-05
2.702706616570197e-09,6.795643765936487e-05,2.702706616570197e-09,6.795643768462223e-05,2.702706616570197e-09,6.094256819117963e-05,2.702706616570197e-09,0.3903925647612206,2.702706616570197e-09,6.795643766134882e-05
2.725850249365748e-09,6.795643766020677e-05,2.725850249365748e-09,6.795643763747439e-05,2.725850249365748e-09,6.094256667869957e-05,2.725850249365748e-09,0.4032501385365265,2.725850249365748e-09,6.79564376582355e-05
2.754017301165771e-09,6.795643766218375e-05,2.754017301165771e-09,6.795643767960592e-05,2.754017301165771e-09,6.094256769733064e-05,2.754017301165771e-09,0.4188985006476506,2.754017301165771e-09,6.795643766125173e-05
2.784554590449434e-09,6.795643765765106e-05,2.784554590449434e-09,6.795643764525234e-05,2.784554590449434e-09,6.09425670173537e-05,2.784554590449434e-09,0.4358636613607964,2.784554590449434e-09,6.795643765824943e-05
2.813120231788998e-09,6.795643766180954e-05,2.813120231788998e-09,6.795643767204529e-05,2.813120231788998e-09,6.094256743332318e-05,2.813120231788998e-09,0.4517334621049991,2.813120231788998e-09,6.795643766128765e-05
2.842920733339095e-09,6.795643766098905e-05,2.842920733339095e-09,6.795643764954564e-05,2.842920733339095e-09,6.09425672274482e-05,2.842920733339095e-09,0.4682892962994972,2.842920733339095e-09,6.795643765852483e-05
2.867243662813233e-09,6.79564376615967e-05,2.867243662813233e-09,6.795643766784074e-05,2.867243662813233e-09,6.094256726086308e-05,2.867243662813233e-09,0.4818020348962404,2.867243662813233e-09,6.79564376610202e-05
2.895154013063728e-09,6.795643765839849e-05,2.895154013063728e-09,6.795643765602269e-05,2.895154013063728e-09,6.094256736232241e-05,2.895154013063728e-09,0.4973077850354043,2.895154013063728e-09,6.795643765851757e-05
2.921094972943301e-09,6.795643766088996e-05,2.921094972943301e-09,6.795643766274946e-05,2.921094972943301e-09,6.094256716905506e-05,2.921094972943301e-09,0.5117194294129451,2.921094972943301e-09,6.795643766048446e-05
2.972976892702448e-09,6.795643766149909e-05,2.972976892702448e-09,6.795643765729361e-05,2.972976892702448e-09,6.094256741759966e-05,2.972976892702448e-09,0.5405427181680267,2.972976892702448e-09,6.79564376560173e-05
3.015534443808727e-09,6.795643765814704e-05,3.015534443808727e-09,6.795643766227072e-05,3.015534443808727e-09,6.094256713792011e-05,3.015534443808727e-09,0.5641858021159596,3.015534443808727e-09,6.795643766308011e-05
3.058952952512946e-09,6.795643766136818e-05,3.058952952512946e-09,6.795643765486548e-05,3.058952952512946e-09,6.094256744565377e-05,3.058952952512946e-09,0.5883071958405253,3.058952952512946e-09,6.795643765395635e-05
3.070072085180384e-09,6.795643765896485e-05,3.070072085180384e-09,6.795643766139424e-05,3.070072085180384e-09,6.094256709848636e-05,3.070072085180384e-09,0.5944844917668798,3.070072085180384e-09,6.795643766115814e-05
3.09231035051526e-09,6.795643766343228e-05,3.09231035051526e-09,6.79564376583458e-05,3.09231035051526e-09,6.094256747691643e-05,3.09231035051526e-09,0.6068390836195889,3.09231035051526e-09,6.79564376607284e-05
3.099638279908091e-09,6.795643765816135e-05,3.099638279908091e-09,6.79564376589597e-05,3.099638279908091e-09,6.094256710083369e-05,3.099638279908091e-09,0.6109101555044949,3.099638279908091e-09,6.795643765936652e-05
3.114294138693752e-09,6.795643766181953e-05,3.114294138693752e-09,6.795643766288054e-05,3.114294138693752e-09,6.094256745878028e-05,3.114294138693752e-09,0.6190522992743068,3.114294138693752e-09,6.795643765757004e-05
3.118522099332059e-09,6.79564376593195e-05,3.118522099332059e-09,6.795643765569176e-05,3.118522099332059e-09,6.094256709238562e-05,3.118522099332059e-09,0.6214011662955886,3.118522099332059e-09,6.795643766049224e-05
3.126978020608674e-09,6.795643765834767e-05,3.126978020608674e-09,6.795643766279451e-05,3.126978020608674e-09,6.094256740006309e-05,3.126978020608674e-09,0.6260989003381522,3.126978020608674e-09,6.795643765638859e-05
3.135236705322887e-09,6.795643766083795e-05,3.135236705322887e-09,6.795643766722192e-05,3.135236705322887e-09,6.094256741183602e-05,3.135236705322887e-09,0.6306870585127149,3.135236705322887e-09,6.795643766243007e-05
3.143153413132363e-09,6.795643765867614e-05,3.143153413132363e-09,6.795643765671662e-05,3.143153413132363e-09,6.094256752929645e-05,3.143153413132363e-09,0.6350852295179792,3.143153413132363e-09,6.795643765821038e-05
3.152074375164047e-09,6.79564376607786e-05,3.152074375164047e-09,6.795643765420068e-05,3.152074375164047e-09,6.094256722037368e-05,3.152074375164047e-09,0.6400413195355815,3.152074375164047e-09,6.795643765867597e-05
3.155201714466147e-09,6.795643766233838e-05,3.155201714466147e-09,6.795643779569325e-05,3.155201714466147e-09,6.094256985281977e-05,3.155201714466147e-09,0.6417787302589706,3.155201714466147e-09,6.795643766332352e-05
3.161456393070347e-09,6.795643765843499e-05,3.161456393070347e-09,6.795643743122797e-05,3.161456393070347e-09,6.094256434092868e-05,3.161456393070347e-09,0.6452535517057485,3.161456393070347e-09,6.795643764966907e-05
3.169463697505571e-09,6.795643765961402e-05,3.169463697505571e-09,6.79564356583087e-05,3.169463697505571e-09,6.094250445779497e-05,3.169463697505571e-09,0.6497020541697619,3.169463697505571e-09,6.795643760891893e-05
3.178072358013301e-09,6.795643765947795e-05,3.178072358013301e-09,6.795643879498751e-05,3.178072358013301e-09,6.094252399387939e-05,3.178072358013301e-09,0.6544846433407226,3.178072358013301e-09,6.795643773879772e-05
3.186324396059177e-09,6.795643767761306e-05,3.186324396059177e-09,6.795649392056348e-05,3.186324396059177e-09,6.094420424013052e-05,3.186324396059177e-09,0.659069108921765,3.186324396059177e-09,6.795643914730759e-05
3.197057002090916e-09,6.795643761173355e-05,3.197057002090916e-09,6.795637300172496e-05,3.197057002090916e-09,6.094267187511024e-05,3.197057002090916e-09,0.6650316678282865,3.197057002090916e-09,6.795643613579492e-05
3.204665144154526e-09,6.79564372866274e-05,3.204665144154526e-09,6.79542016191632e-05,3.204665144154526e-09,6.088027230545982e-05,3.204665144154526e-09,0.6692584134191811,3.204665144154526e-09,6.795642159883372e-05
3.212316915684484e-09,6.795643874940227e-05,3.212316915684484e-09,6.795713753196603e-05,3.212316915684484e-09,6.088576551437744e-05,3.212316915684484e-09,0.6735093976024913,3.212316915684484e-09,6.795642599946036e-05
3.219485188585078e-09,6.795643869923094e-05,3.219485188585078e-09,6.79670335313601e-05,3.219485188585078e-09,6.117212665264379e-05,3.219485188585078e-09,0.6774917714361545,3.219485188585078e-09,6.795651817022397e-05
3.225448910466099e-09,6.795643174073219e-05,3.225448910466099e-09,6.794926752831074e-05,3.225448910466099e-09,6.102195963300079e-05,3.225448910466099e-09,0.6808049502589439,3.225448910466099e-09,6.795650953436414e-05
3.233703836248005e-09,6.795644290685474e-05,3.233703836248005e-09,6.795095575339458e-05,3.233703836248005e-09,6.080747064234721e-05,3.233703836248005e-09,0.6853910201377805,3.233703836248005e-09,6.795637209806856e-05
3.241677180728087e-09,6.795643722938646e-05,3.241677180728087e-09,6.796087783109196e-05,3.241677180728087e-09,6.091478970076108e-05,3.241677180728087e-09,0.6898206559600486,3.241677180728087e-09,6.795643764870449e-05
3.248880939925269e-09,6.795643501280158e-05,3.248880939925269e-09,6.795651336713175e-05,3.248880939925269e-09,6.092963020313931e-05,3.248880939925269e-09,0.6938227444029271,3.248880939925269e-09,6.795637020024437e-05
3.256097610730741e-09,6.79564385433539e-05,3.256097610730741e-09,6.795716824938229e-05,3.256097610730741e-09,6.094683558234087e-05,3.256097610730741e-09,0.6978320059615226,3.256097610730741e-09,6.795615830747145e-05
3.262547466003292e-09,6.795643560104539e-05,3.262547466003292e-09,6.79531836268467e-05,3.262547466003292e-09,6.084529218675157e-05,3.262547466003292e-09,0.7014152588907179,3.262547466003292e-09,6.795601221067798e-05
3.268229510965532e-09,6.795641800797517e-05,3.268229510965532e-09,6.79515546903333e-05,3.268229510965532e-09,6.061748603007983e-05,3.268229510965532e-09,0.7045719505364066,3.268229510965532e-09,6.795176605673688e-05
3.272394829346851e-09,6.795629120897756e-05,3.272394829346851e-09,6.795292618366267e-05,3.272394829346851e-09,5.997269384521499e-05,3.272394829346851e-09,0.7068860163038063,3.272394829346851e-09,6.792741105259547e-05
3.276425165948358e-09,6.795634165948751e-05,3.276425165948358e-09,6.796392200190003e-05,3.276425165948358e-09,5.92362953899694e-05,3.276425165948358e-09,0.7091250921935321,3.276425165948358e-09,6.790874761120612e-05
3.280090030956628e-09,6.795752741805892e-05,3.280090030956628e-09,6.797205041526729e-05,3.280090030956628e-09,6.180625862694328e-05,3.280090030956628e-09,0.7111611283092376,3.280090030956628e-09,6.806780029963725e-05
3.283575349639935e-09,6.796188300035062e-05,3.283575349639935e-09,6.797502190663396e-05,3.283575349639935e-09,7.886245746620079e-05,3.283575349639935e-09,0.7130974164666305,3.283575349639935e-09,6.888010496925228e-05
3.286969042614051e-09,6.796109476508648e-05,3.286969042614051e-09,6.797025894857057e-05,3.286969042614051e-09,0.0001044539534846701,3.286969042614051e-09,0.7149828014522507,3.286969042614051e-09,6.962039612535161e-05
3.289566138669649e-09,6.795074995730689e-05,3.289566138669649e-09,6.796991684214027e-05,3.289566138669649e-09,0.0001021864353435566,3.289566138669649e-09,0.7164256325942493,3.289566138669649e-09,6.899294736562057e-05
3.291979646897145e-09,6.794438708706735e-05,3.291979646897145e-09,6.7960860621092e-05,3.291979646897145e-09,3.270822525631407e-05,3.291979646897145e-09,0.7177664704984138,3.291979646897145e-09,6.779765570224946e-05
3.294896757665622e-09,6.794819723520996e-05,3.294896757665622e-09,6.793259659080288e-05,3.294896757665622e-09,-0.0002635326399769565,3.294896757665622e-09,0.7193870875920123,3.294896757665622e-09,6.663236237927894e-05
3.298197192130729e-09,6.796173161291334e-05,3.298197192130729e-09,6.791734625071821e-05,3.298197192130729e-09,-0.0009385079992609366,3.298197192130729e-09,0.7212206622948496,3.298197192130729e-09,6.100897077307019e-05
3.302169205635088e-09,6.79783069439457e-05,3.302169205635088e-09,6.794699225088846e-05,3.302169205635088e-09,-0.001207738659280515,3.302169205635088e-09,0.7234273364639376,3.302169205635088e-09,4.979938688882976e-05
3.304962678233546e-09,6.796212064353846e-05,3.304962678233546e-09,6.795586249519665e-05,3.304962678233546e-09,-0.0009151113567119917,3.304962678233546e-09,0.7249792656853032,3.304962678233546e-09,4.928142318163544e-05
3.307666114614388e-09,6.794717545626839e-05,3.307666114614388e-09,6.795017667223814e-05,3.307666114614388e-09,-0.0005339623146849936,3.307666114614388e-09,0.7264811747857713,3.307666114614388e-09,5.964290409413109e-05
3.310466927844901e-09,6.795514570303771e-05,3.310466927844901e-09,6.794859980214394e-05,3.310466927844901e-09,-0.0002451429415367446,3.310466927844901e-09,0.7280371821360563,3.310466927844901e-09,8.274113693887799e-05
3.313075621851517e-09,6.797569116511499e-05,3.313075621851517e-09,6.794774519584492e-05,3.313075621851517e-09,-0.0003158570313442757,3.313075621851517e-09,0.7294864565841763,3.313075621851517e-09,0.0001225319240579942
3.315488553587802e-09,6.7991806172501e-05,3.315488553587802e-09,6.795332634812422e-05,3.315488553587802e-09,-0.0007882479815678373,3.315488553587802e-09,0.7308269742154453,3.315488553587802e-09,0.0001896965717711836
3.318235205018058e-09,6.79769337167161e-05,3.318235205018058e-09,6.796270039409303e-05,3.318235205018058e-09,-0.001704601607110165,3.318235205018058e-09,0.7323528916766987,3.318235205018058e-09,0.0003533990476196349
3.321381092351363e-09,6.793468157592629e-05,3.321381092351363e-09,6.797699969924229e-05,3.321381092351363e-09,-0.002743863400830239,3.321381092351363e-09,0.7341006068618682,3.321381092351363e-09,0.0004062614735873387
3.324145305121848e-09,6.789808102866513e-05,3.324145305121848e-09,6.797910782041436e-05,3.324145305121848e-09,-0.003385752186954262,3.324145305121848e-09,0.7356362806232488,3.324145305121848e-09,-0.002795621434038761
3.327048675251058e-09,6.787857303812238e-05,3.327048675251058e-09,6.797543129912997e-05,3.327048675251058e-09,-0.003595162396499103,3.327048675251058e-09,0.7372492640283655,3.327048675251058e-09,-0.0107303629050416
3.32998675251497e-09,6.789235606379918e-05,3.32998675251497e-09,6.79701656830675e-05,3.32998675251497e-09,-0.003168611025622871,3.32998675251497e-09,0.7388815291749831,3.32998675251497e-09,-0.01154595922471186
3.3326130924702e-09,6.792870659050452e-05,3.3326130924702e-09,6.795974678528744e-05,3.3326130924702e-09,-0.002361692792453748,3.3326130924702e-09,0.7403406069278891,3.3326130924702e-09,0.02122565232863399
3.335099742230152e-09,6.796132765548545e-05,3.335099742230152e-09,6.794366866970843e-05,3.335099742230152e-09,-0.001661231379561023,3.335099742230152e-09,0.741722079016751,3.335099742230152e-09,0.0984641612267174
3.337226264643912e-09,6.799700168940517e-05,3.337226264643912e-09,6.794700568555068e-05,3.337226264643912e-09,-0.000953462911943332,3.337226264643912e-09,0.7429034803577288,3.337226264643912e-09,0.1921447622151396
3.33977727024014e-09,6.802352387872151e-05,3.33977727024014e-09,6.795607388137791e-05,3.33977727024014e-09,0.0002095348477620061,3.33977727024014e-09,0.7443207056889666,3.33977727024014e-09,0.3204036715842454
3.342584471677267e-09,6.800650081760641e-05,3.342584471677267e-09,6.794664586347935e-05,3.342584471677267e-09,0.001442581090684373,3.342584471677267e-09,0.745880262042926,3.342584471677267e-09,0.4721268732025914
3.345277718481791e-09,6.798335734571952e-05,3.345277718481791e-09,6.794369526201548e-05,3.345277718481791e-09,0.002379746680660379,3.345277718481791e-09,0.7473765102676617,3.345277718481791e-09,0.6114461037888491
3.348142814678316e-09,6.796453053683703e-05,3.348142814678316e-09,6.79436590076038e-05,3.348142814678316e-09,0.002932745350832885,3.348142814678316e-09,0.7489682303768423,3.348142814678316e-09,0.7317244678471257
3.350663741595192e-09,6.795897143634197e-05,3.350663741595192e-09,6.794925756125787e-05,3.350663741595192e-09,0.003061630601669606,3.350663741595192e-09,0.7503687453306622,3.350663741595192e-09,0.8041834295601938
3.353265386061403e-09,6.796003203291977e-05,3.353265386061403e-09,6.795676459326525e-05,3.353265386061403e-09,0.002947009342909635,3.353265386061403e-09,0.7518141033674458,3.353265386061403e-09,0.868108429757253
3.356105814372916e-09,6.796085088743772e-05,3.356105814372916e-09,6.796162780183764e-05,3.356105814372916e-09,0.002635823518528161,3.356105814372916e-09,0.7533921190960645,3.356105814372916e-09,1.005447862618615
3.35873777892455e-09,6.796133176211276e-05,3.35873777892455e-09,6.796405861087474e-05,3.35873777892455e-09,0.002266565797107529,3.35873777892455e-09,0.7548543216247501,3.35873777892455e-09,1.33514256278809
3.360808048744367e-09,6.796069253490794e-05,3.360808048744367e-09,6.796442789176822e-05,3.360808048744367e-09,0.001982562279572785,3.360808048744367e-09,0.7560044715246483,3.360808048744367e-09,1.841854466069235
